Verification Type,Check Slug,Check Name,Category,Lifecycle stage,Reason Slug,Reason Text,Status
selfie,selfie_id_comparison,Selfie-to-ID comparison,fraud,production,comparison_attempt_unsuccessful,An error has occurred that made the selfie and government ID comparison attempt fail.,failed
selfie,selfie_id_comparison,Selfie-to-ID comparison,fraud,production,face_mismatch,The selfie and the face portrait in the ID appear to be different faces.,failed
selfie,selfie_id_comparison,Selfie-to-ID comparison,fraud,production,no_government_id,Inquiry has no ID portrait.,not_applicable
selfie,selfie_id_comparison,Selfie-to-ID comparison,fraud,production,no_selfie,Inquiry has no selfie.,not_applicable
selfie,selfie_image_quality_detection,Image quality,user_action_required,beta,insufficient_detail,Camera resolution or image detail is too low.,failed
selfie,selfie_image_quality_detection,Image quality,user_action_required,beta,insufficient_illumination,The submission has insufficient lighting.,failed
selfie,selfie_image_quality_detection,Image quality,user_action_required,beta,excessive_illumination,The submission is too excessively lit.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,deepfake_detected,The selfie appears to be a deepfake.,passed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,device_detected,The selfie does not appear to be a live person.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,emulator_detected,The submission may have been submitted on an emulator.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,gen_ai_detected,The selfie appears to be an AI generated image.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,invalid_pose,Failed to determine selfie liveness due to inadequate image quality.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,not_enabled,Not enabled.,not_applicable
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,replica_2d_detected,The selfie appears to be a 2d replica.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,replica_detected,The selfie has characteristics that are indicative of a spoof.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,rooted_device,The images may have been submitted on a rooted device.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,unexpected_orientation,The submission is not properly oriented.,failed
selfie,selfie_liveness_detection,Selfie liveness,fraud,production,virtual_camera_detected,The selfie has characteristics that are indicative of virtual camera usage.,failed
selfie,selfie_multiple_faces_detection,Multiple faces,fraud,production,center_only,The selfie has only one pose.,not_applicable
selfie,selfie_multiple_faces_detection,Multiple faces,fraud,production,disabled_face_comparison,Face comparison is disabled.,not_applicable
selfie,selfie_multiple_faces_detection,Multiple faces,fraud,production,face_conflict,The selfies appear to be different faces across poses.,failed
selfie,selfie_multiple_faces_detection,Multiple faces,fraud,production,multiple_faces_detected,The selfies has multiple faces in the frame.,failed
selfie,selfie_persona_comparison,Persona comparison,fraud,alpha,face_mismatch,The selfie and the face from the Reusable Persona appear to be different faces.,failed
selfie,selfie_persona_comparison,Persona comparison,fraud,alpha,missing_persona_face,The Reusable Persona doesn't have a face.,not_applicable
selfie,selfie_persona_comparison,Persona comparison,fraud,alpha,missing_comparison_result,The comparison result is missing.,not_applicable
selfie,selfie_portrait_quality_detection,Portrait quality,user_action_required,production,eyes_closed,The face portrait appears to have closed eyes.,passed
selfie,selfie_portrait_quality_detection,Portrait quality,user_action_required,production,missing_face,The selfie has no face.,failed
selfie,selfie_portrait_quality_detection,Portrait quality,user_action_required,production,portrait_not_clear,The face portrait is unclear and out of focus.,failed
selfie,selfie_pose_detection,Pose position,fraud,production,center_only,The selfie has only one pose.,not_applicable
selfie,selfie_pose_detection,Pose position,fraud,production,center_pose_face_obscured,The center selfie's face appears obscured.,failed
selfie,selfie_pose_detection,Pose position,fraud,production,face_cropped,The selfie does not capture the entire face.,failed
selfie,selfie_pose_detection,Pose position,fraud,production,face_quality,The selfie captured is unclear and out of focus,failed
selfie,selfie_pose_detection,Pose position,fraud,production,face_too_far,The selfie captured was too small.,failed
selfie,selfie_pose_detection,Pose position,fraud,production,missing_yaw_angles,Missing yaw angles.,failed
selfie,selfie_pose_detection,Pose position,fraud,production,pose_order_incorrect,The submitted pose order was incorrect,failed
selfie,selfie_pose_detection,Pose position,fraud,production,required_poses_not_found,The selfies appear to be incorrectly positioned in one or more poses.,failed
selfie,selfie_pose_repeat_detection,Pose repeat,fraud,production,center_only,The selfie has only one pose.,not_applicable
selfie,selfie_pose_repeat_detection,Pose repeat,fraud,production,poses_repeated,The selfies appear to repeat across poses.,failed
selfie,selfie_public_figure_detection,Public figure,fraud,production,image_quality_low,Image quality is too low for repeat detection.,not_applicable
selfie,selfie_public_figure_detection,Public figure,fraud,production,missing_face,The selfie has no face.,not_applicable
selfie,selfie_public_figure_detection,Public figure,fraud,production,public_figure,The selfie submission appears to be of a known public figure.,failed
selfie,selfie_repeat_detection,Selfie repeat,fraud,production,image_quality_low,Image quality is too low for repeat detection.,not_applicable
selfie,selfie_repeat_detection,Selfie repeat,fraud,production,not_enabled,Selfie repeat detection is not enabled.,not_applicable
selfie,selfie_repeat_detection,Selfie repeat,fraud,production,repeat,The selfie matches that of a previously submitted selfie on a different account.,failed
selfie,selfie_repeat_detection,Selfie repeat,fraud,production,repeat_image,The image matches that of a previously submitted selfie on a different account.,passed
selfie,selfie_similar_background_detection,Similar background detection,fraud,alpha,not_enabled,Similar Background Detection is not enabled.,not_applicable
selfie,selfie_similar_background_detection,Similar background detection,fraud,alpha,similar_background_detected,The selfie submission has a similar background to a previously submitted selfie.,failed
selfie,selfie_suspicious_entity_detection,Suspicious entity,fraud,production,suspicious_photo,The selfie submission appears to be a government ID.,failed
